Date,Expense/Income,Name / Description,Amount (EUR),Transaction vs category,Transaction,Category
1/1/2022,Expense,Online Shopping,241.86,3. Online Shopping - Shopping,Online Shopping,Shopping
1/3/2022,Income,Bonus Payment,2979.06,4. Bonus Payment - Salary,Bonus Payment,Salary
1/4/2022,Expense,Dining Out,699.41,5. Dining Out - Food,Dining Out,Food and Drinks
1/7/2022,Expense,Insurance Payment,898.56,6. Insurance Payment - Insurance,Insurance Payment,Insurance
1/10/2022,Expense,Gym Membership,568.77,7. Gym Membership - Fitness,Gym Membership,Fitness
1/12/2022,Income,Stock Dividends,2998.01,8. Stock Dividends - Investments,Stock Dividends,Investments
1/13/2022,Expense,Gym Membership,768.6,7. Gym Membership - Fitness,Gym Membership,Fitness
1/14/2022,Expense,Entertainment,998.06,18. Entertainment - Leisure,Entertainment,Leisure
1/14/2022,Income,Tax Refund,4594.5,9. Tax Refund - Taxes,Tax Refund,Taxes
1/14/2022,Income,Tax Refund,4594.5,19. Tax Refund - Taxes,Tax Refund,Taxes
1/16/2022,Expense,Gym Membership,737.13,7. Gym Membership - Fitness,Gym Membership,Fitness
1/17/2022,Expense,Coffee Shop,168.65,10. Coffee Shop - Food,Coffee Shop,Food and Drinks
1/17/2022,Expense,Coffee Shop,168.65,20. Coffee Shop - Food,Coffee Shop,Food and Drinks
1/17/2022,Expense,Electricity Bill,993.47,11. Electricity Bill - Utilities,Electricity Bill,Utilities
1/17/2022,Expense,Electricity Bill,993.47,21. Electricity Bill - Utilities,Electricity Bill,Utilities
1/22/2022,Income,Side Business Earnings,4058.11,12. Side Business Earnings - Income,Side Business Earnings,Income
1/22/2022,Income,Side Business Earnings,4058.11,22. Side Business Earnings - Income,Side Business Earnings,Income
2/1/2022,Expense,Dining Out,378.26,5. Dining Out - Food,Dining Out,Food and Drinks
2/3/2022,Expense,Gym Membership,771.65,7. Gym Membership - Fitness,Gym Membership,Fitness
2/4/2022,Income,Gift Received,2718.93,13. Gift Received - Gifts,Gift Received,Gifts
2/4/2022,Income,Gift Received,2718.93,23. Gift Received - Gifts,Gift Received,Gifts
2/11/2022,Expense,Water Bill,935.69,14. Water Bill - Utilities,Water Bill,Utilities
2/11/2022,Expense,Water Bill,935.69,24. Water Bill - Utilities,Water Bill,Utilities
2/12/2022,Income,Gift Received,1395.58,13. Gift Received - Gifts,Gift Received,Gifts
2/12/2022,Income,Gift Received,1395.58,23. Gift Received - Gifts,Gift Received,Gifts
2/13/2022,Expense,Insurance Payment,252.73,6. Insurance Payment - Insurance,Insurance Payment,Insurance
2/15/2022,Expense,Rent Payment,420.33,15. Rent Payment - Housing,Rent Payment,Housing
2/15/2022,Expense,Rent Payment,420.33,25. Rent Payment - Housing,Rent Payment,Housing
2/19/2022,Expense,Travel Expenses,479.21,16. Travel Expenses - Travel,Travel Expenses,Travel
2/19/2022,Expense,Travel Expenses,479.21,26. Travel Expenses - Travel,Travel Expenses,Travel
2/21/2022,Income,Gift Received,4639.78,13. Gift Received - Gifts,Gift Received,Gifts
2/21/2022,Income,Gift Received,4639.78,23. Gift Received - Gifts,Gift Received,Gifts
2/23/2022,Income,Stock Dividends,4025.96,8. Stock Dividends - Investments,Stock Dividends,Investments
2/24/2022,Expense,Online Shopping,222.74,3. Online Shopping - Shopping,Online Shopping,Shopping
3/1/2022,Income,Investment Returns,3565.27,17. Investment Returns - Investments,Investment Returns,Investments
3/1/2022,Income,Investment Returns,3565.27,27. Investment Returns - Investments,Investment Returns,Investments
3/1/2022,Expense,Online Shopping,393.92,3. Online Shopping - Shopping,Online Shopping,Shopping
3/8/2022,Expense,Grocery Shopping,286.56,,,
3/11/2022,Income,Selling Paintings,3067.26,36. Selling Paintings - Income,Selling Paintings,Income
3/16/2022,Expense,Electricity Bill,929.01,11. Electricity Bill - Utilities,Electricity Bill,Utilities
3/16/2022,Expense,Electricity Bill,929.01,21. Electricity Bill - Utilities,Electricity Bill,Utilities
3/16/2022,Expense,Clothing Purchase,94.3,37. Clothing Purchase - Shopping,Clothing Purchase,Shopping
3/17/2022,Income,Bonus Payment,2948.24,4. Bonus Payment - Salary,Bonus Payment,Salary
3/17/2022,Income,Real Estate Rental Income,509.43,38. Real Estate Rental Income - Income,Real Estate Rental Income,Income
3/25/2022,Expense,Phone Bill,918.02,39. Phone Bill - Utilities,Phone Bill,Utilities
3/25/2022,Expense,Dining Out,450.96,5. Dining Out - Food,Dining Out,Food and Drinks
3/28/2022,Income,Selling Paintings,3677.83,36. Selling Paintings - Income,Selling Paintings,Income
4/1/2022,Expense,Electricity Bill,802.63,11. Electricity Bill - Utilities,Electricity Bill,Utilities
4/1/2022,Expense,Electricity Bill,802.63,21. Electricity Bill - Utilities,Electricity Bill,Utilities
4/5/2022,Expense,Public Transport Ticket,260.47,34. Public Transport Ticket - Travel,Public Transport Ticket,Travel
4/15/2022,Expense,Electricity Bill,104.5,11. Electricity Bill - Utilities,Electricity Bill,Utilities
4/15/2022,Expense,Electricity Bill,104.5,21. Electricity Bill - Utilities,Electricity Bill,Utilities
4/18/2022,Expense,Medical Expenses,616.28,35. Medical Expenses - Healthcare,Medical Expenses,Health and Wellness
4/19/2022,Income,Scholarship,3758.81,28. Scholarship - Education,Scholarship,Education
4/21/2022,Expense,Dining Out,787.59,5. Dining Out - Food,Dining Out,Food and Drinks
4/24/2022,Expense,Phone Bill,639.98,39. Phone Bill - Utilities,Phone Bill,Utilities
4/25/2022,Expense,Entertainment,73.43,18. Entertainment - Leisure,Entertainment,Leisure
4/30/2022,Expense,Gym Membership,401.77,7. Gym Membership - Fitness,Gym Membership,Fitness
5/1/2022,Expense,Dining Out,550.6,5. Dining Out - Food,Dining Out,Food and Drinks
5/2/2022,Expense,Streaming Service Subscription,224.92,29. Streaming Service Subscription - Leisure,Streaming Service Subscription,Leisure
